episode_id,seat,turn,replay_index,day,money,hands,hires_today,unlocked_quadrants,animals,pastures,plants,wheat_reserve,wheat_shed,fertilizer_shed,milk_shed,wool_shed,wheat_price,strawberry_price,melon_price
92927508,0,0,1,0,1553.0,4,4,1,{},0,0,0,0,0,0,0,26,128,256
92927508,0,24,25,1,777.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,4,7,4,0,0,0,29,132,260
92927508,0,96,97,4,769.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,16,6,3,0,0,0,30,139,266
92927508,0,192,193,8,1640.0,8,8,2,"{""COW"":2,""SHEEP"":2}",4,14,21,17,1,0,0,31,145,270
92927508,0,288,289,12,8779.0,9,9,3,"{""COW"":4,""GOOSE"":1,""SHEEP"":4}",8,7,30,26,4,0,0,36,168,249
92927508,0,384,385,16,15213.0,9,9,3,"{""COW"":4,""GOOSE"":1,""SHEEP"":5}",9,7,54,50,6,0,14,41,182,249
92927508,0,480,481,20,33303.0,10,10,3,"{""COW"":5,""GOOSE"":1,""SHEEP"":6}",11,1,41,37,4,0,0,45,197,242
92927508,0,576,577,24,46349.0,10,10,3,"{""COW"":5,""GOOSE"":1,""SHEEP"":6}",11,3,38,34,0,0,0,49,217,244
92927508,0,719,719,29,67331.0,9,9,3,"{""COW"":5,""GOOSE"":1,""SHEEP"":6}",11,1,10,10,0,0,0,53,226,246
92927508,1,0,1,0,346.0,3,3,1,{},0,0,0,0,0,0,0,26,128,256
92927508,1,24,25,1,180.0,2,2,1,"{""COW"":4,""SHEEP"":2}",6,3,0,0,0,0,0,29,132,260
92927508,1,96,97,4,328.0,7,7,1,"{""COW"":2}",6,17,2,2,0,0,0,30,139,266
92927508,1,192,193,8,256.0,4,4,1,"{""COW"":3,""SHEEP"":1}",6,18,9,5,0,0,0,31,145,270
92927508,1,288,289,12,743.0,7,7,1,"{""COW"":4,""SHEEP"":7}",11,11,33,25,0,0,0,36,168,249
92927508,1,384,385,16,5536.0,8,8,2,"{""COW"":5,""SHEEP"":7}",13,19,36,28,0,0,0,41,182,249
92927508,1,480,481,20,24487.0,7,7,2,"{""COW"":5,""SHEEP"":8}",13,15,39,31,0,0,0,45,197,242
92927508,1,576,577,24,40627.0,6,6,2,"{""COW"":5,""GOOSE"":1,""SHEEP"":8}",13,15,28,20,0,0,0,49,217,244
92927508,1,719,719,29,68198.0,11,11,2,"{""COW"":5,""GOOSE"":1,""SHEEP"":8}",13,15,19,19,0,0,4,53,226,246
92928454,0,0,1,0,1553.0,4,4,1,{},0,0,0,0,0,0,0,26,128,256
92928454,0,24,25,1,779.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,4,7,4,0,0,0,28,132,260
92928454,0,96,97,4,706.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,16,8,5,0,0,0,28,149,266
92928454,0,192,193,8,1772.0,9,9,2,"{""COW"":2,""SHEEP"":2}",4,14,21,17,1,0,0,31,181,270
92928454,0,288,289,12,7888.0,8,8,3,"{""COW"":4,""GOOSE"":1,""SHEEP"":2}",6,7,35,31,1,0,0,35,206,244
92928454,0,384,385,16,18286.0,9,9,3,"{""COW"":5,""GOOSE"":2,""SHEEP"":2}",7,7,36,32,2,0,0,40,225,239
92928454,0,480,481,20,29547.0,9,9,3,"{""COW"":5,""GOOSE"":2,""SHEEP"":4}",9,1,47,43,6,3,0,44,244,242
92928454,0,576,577,24,44022.0,10,10,3,"{""COW"":5,""GOOSE"":2,""SHEEP"":4}",9,2,40,36,5,3,0,47,263,227
92928454,0,719,719,29,69479.0,9,9,3,"{""COW"":5,""GOOSE"":2,""SHEEP"":4}",9,0,10,10,0,0,0,51,295,230
92928454,1,0,1,0,1476.0,3,3,2,{},0,0,0,0,0,0,0,26,128,256
92928454,1,24,25,1,902.0,3,3,2,{},6,34,0,0,0,0,0,28,132,260
92928454,1,96,97,4,895.0,3,3,2,"{""COW"":1}",6,23,0,0,0,0,0,28,149,266
92928454,1,192,193,8,735.0,3,3,2,"{""COW"":1}",6,23,0,0,0,0,0,31,181,270
92928454,1,288,289,12,2637.0,3,3,2,"{""COW"":3,""SHEEP"":2}",6,15,5,5,0,0,0,35,206,244
92928454,1,384,385,16,830.0,3,3,3,"{""COW"":5,""SHEEP"":2}",8,20,6,6,0,0,0,40,225,239
92928454,1,480,481,20,2061.0,3,3,3,"{""COW"":5,""SHEEP"":2}",8,28,0,0,0,0,0,44,244,242
92928454,1,576,577,24,10036.0,3,3,3,"{""COW"":5,""SHEEP"":2}",8,24,5,5,0,0,0,47,263,227
92928454,1,719,719,29,14321.0,10,10,3,"{""COW"":5,""SHEEP"":2}",8,0,3,0,0,0,0,51,295,230
92929391,0,0,1,0,1553.0,4,4,1,{},0,0,0,0,0,0,0,26,128,256
92929391,0,24,25,1,777.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,4,7,4,0,0,0,29,132,260
92929391,0,96,97,4,773.0,6,6,1,"{""COW"":1,""SHEEP"":2}",3,16,6,3,0,0,0,30,139,266
92929391,0,192,193,8,1540.0,7,7,2,"{""COW"":2,""SHEEP"":2}",4,13,21,17,0,0,0,33,159,270
92929391,0,288,289,12,5516.0,9,9,3,"{""COW"":3,""GOOSE"":2,""SHEEP"":4}",7,6,35,31,1,0,0,37,179,195
